Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,Tipo de estratégia de lances,Custo,Impr.,Cliques,Conversões,Taxa de conv.,Valor conv.,Valor conv. / custo,CPC méd.,Custo / conv.,CTR,CPM médio,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),% de sessões engajadas (GA4),Eventos / sessão (GA4),Freq. méd. impr. / usuário,Usuários exclusivos
abril de 2026,Pausada,{PES} Vendas de Lojas,"100,00",Data da criação de Portfólio Maximizar conversões_111736353-300-1698428166269-: 10/27/2023 10:36 AM,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,10822689039,Pesquisa,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,{PES} Vendas de Lojas,"100,00",Data da criação de Portfólio Maximizar conversões_111736353-300-1698428166269-: 10/27/2023 10:36 AM,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,10822689039,Pesquisa,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,{PES} Vendas de Lojas,"100,00",Data da criação de Portfólio Maximizar conversões_111736353-300-1698428166269-: 10/27/2023 10:36 AM,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,10822689039,Pesquisa,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
maio de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
junho de 2026,Pausada,CINEMA PREÇO ÚNICO 12 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9549205332,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
janeiro de 2026,Pausada,CINEMA PREÇO ÚNICO 10 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9543684935,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CINEMA PREÇO ÚNICO 10 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9543684935,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CINEMA PREÇO ÚNICO 10 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9543684935,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
