"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",archived,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Dgongora Seleção Linha Verde",not_delivering,2026-04-22,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"City Motors Seleção ALV",not_delivering,2026-04-22,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-06-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 -PG",not_delivering,2026-02-24,2026-02-24,Contínuo,1,actions:omni_landing_page_view,0.63,6,Diário,0.63,153,150,1.02,2,1.30719,0.315,4.117647,1
2026-07-01,2026-07-21,"AD 01 - institucional",not_delivering,2026-04-20,2026-06-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 02 - Tiggo 7",inactive,2025-05-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 02 - Tiggo 7 — Cópia",inactive,2025-05-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Duster 2019",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 Institucional Leon — Cópia",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Schafas Institucional",not_delivering,2025-04-24,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 -Institucional video",not_delivering,2025-05-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video",inactive,2026-04-20,2026-06-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Institucional - Carros Premium video",not_delivering,2025-05-27,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 1 - Institucional video",not_delivering,2025-04-23,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional 2 video",not_delivering,2026-03-24,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD Institucional via mais video",not_delivering,2025-06-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV Toso",not_delivering,2026-04-24,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Geral video",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0.27,66,63,1.047619,,,,4.090909,
2026-07-01,2026-07-21,"AD 01 - Geral video — Cópia",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Geral video — Cópia",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0.48,102,100,1.02,,,,4.705882,
2026-07-01,2026-07-21,"AD 01 - video institucional",not_delivering,2026-01-21,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Hb20 2022",not_delivering,2025-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Institucional Auto Power - video",not_delivering,2025-05-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video",not_delivering,2026-03-24,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Nissan sentra - jairauto",inactive,2026-05-12,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Nissan sentra - jairauto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Kardian 2025",not_delivering,2026-05-15,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Virtus 2026",not_delivering,2026-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video luvile",not_delivering,2026-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Jaguar 2020",not_delivering,2026-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD04 maio",not_delivering,2026-02-10,2026-06-25,Contínuo,1,actions:omni_landing_page_view,0.36,6,Diário,0.36,141,135,1.044444,2,1.41844,0.18,2.553191,1
2026-07-01,2026-07-21,"VAD04 maio",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Kicks 2023",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Sportage 2024",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Mobi 2025",not_delivering,2025-06-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD08 Nivus 2025",not_delivering,2025-06-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-14,2026-06-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 maio",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Mercedes 2014",not_delivering,2026-05-29,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Tiguan 2019",not_delivering,2026-01-28,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Onix 2025",not_delivering,2025-06-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Tcross 2025",not_delivering,2025-06-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD06 BYD Song Plus 2025",inactive,2025-06-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Sportage 2019",inactive,2026-01-21,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Hb20 2014",not_delivering,2025-04-23,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"TESTE METAADS",archived,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 🔥 Fim de semana com ofertas!...",not_delivering,2026-06-05,2026-06-05,2026-06-08,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV Jair Auto",not_delivering,2025-04-23,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD02 Seleção ALV",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD03 Seleção ALV",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD03 Seleção ALV — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD01",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD02",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD03",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD01",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD02",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD03",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD03",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD01 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD02 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD03 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD02 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Tem movimentação diferente",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 02",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 -",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 02",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 -",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Stepway 2022",not_delivering,2026-04-22,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Hb20 2026",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Cayenne 2024",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 2008 2026",not_delivering,2026-04-15,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Onix 2019",not_delivering,2026-03-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD01 Seleção ALV",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD03 Seleção ALV — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO AD01 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"NOVO VAD03 — Cópia",not_delivering,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV Gran Torino",not_delivering,2026-05-29,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Hibridos",inactive,2026-05-12,2026-07-14,Contínuo,127,total_profile_visits,0.15464567,"Usando orçamento da campanha",0,19.64,1901,1718,1.106519,106,5.786428,0.178545,10.331405,2
