Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
março de 2026,Removida,Website traffic-Search-23,"19999,00", --,Diário,BRL,Removido,campanha removida,21723938049,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Removida,Website traffic-Search-23,"19999,00", --,Diário,BRL,Removido,campanha removida,21723938049,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Removida,Website traffic-Search-23,"19999,00", --,Diário,BRL,Removido,campanha removida,21723938049,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Removida,Website traffic-Search-23,"19999,00", --,Diário,BRL,Removido,campanha removida,21723938049,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Pausada,Geração de demanda – 2024-07-16,"190,00", --,Diário,BRL,Pausado,campanha pausada,21473916893,Geração de demanda,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
